customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,3/15/2021,Refferal,3/15/2025,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,4/12/1982,,,,
0003-MKNFE,8/1/2020,Paid,8/1/2024,Premium,Annual,9/10/2024,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,11/23/1995,8/28/2024,Y,10,2
0004-TLHLJ,11/20/2022,Organic,11/20/2025,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,2/15/1978,,,,
0011-IGKFF,5/10/2019,Paid,5/10/2025,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,8/30/2001,,,,
0013-EXCHZ,1/5/2023,Refferal,1/5/2024,Standard,Monthly,2/28/2024,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,5/5/1990,1/20/2024,Y,20,1
0013-MHZWF,6/18/2022,Paid,6/18/2025,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,12/10/1988,3/18/2025,N,90,1
0013-SMEOE,9/30/2021,Refferal,9/30/2024,Basic,Monthly,11/15/2024,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,9/21/1976,11/1/2024,N,30,1
0014-BMAQU,2/14/2020,Organic,2/14/2025,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,3/14/1999,,,,
0015-UOCOJ,7/22/2023,Organic,7/22/2024,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,7/7/1985,,,,
0016-QLJIS,4/3/2022,Organic,4/3/2025,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,10/29/1993,,,,
0017-DINOC,12/1/2021,Organic,12/1/2025,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1/22/1997,,,,
0017-IUDMW,3/17/2023,Refferal,3/17/2024,Standard,Monthly,5/1/2024,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,6/18/1981,4/10/2024,Y,25,1
0018-NYROU,10/9/2020,Organic,10/9/2025,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,12/1/2004,,,,
0019-EFAEP,8/25/2022,Refferal,8/25/2024,Basic,Monthly,10/31/2024,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,4/25/1992,9/27/2024,Y,30,1
0019-GFNTW,11/11/2019,Paid,11/11/2025,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,11/11/1979,,,,
0020-INWCK,5/6/2023,Organic,5/6/2025,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,2/28/1986,,,,
0020-JDNXP,1/19/2022,Organic,1/19/2024,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,8/19/1994,,,,
0021-IKXGC,7/7/2021,Paid,7/7/2025,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,9/2/2000,,,,
0022-TCJCI,9/14/2023,Refferal,9/14/2024,Basic,Monthly,9/14/2024,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,12/30/1983,9/14/2024,N,90,2
0023-HGHWL,6/23/2020,Organic,6/23/2025,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,5/14/1991,,,,
0023-UYUPN,12/31/2022,Paid,12/31/2025,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,10/6/1977,,,,
0002-QLDOB,7/13/2023,Refferal,7/13/2025,Basic,Annual,,,8.67,262,24,0,sunita,India,Tamil Nadu,Male,1/17/1987,,,,
0005-PPIPO,2/13/2021,Refferal,2/13/2025,Premium,Annual,6/2/2023,App keeps crashing,22.33,2020,87,1,Sarla,Nepal,Kathmandu,Female,11/30/1992,4/25/2023,N,15,4
0007-BNUOC,6/20/2021,Refferal,6/20/2022,Standard,Monthly,,,15.52,1054,44,0,sneha,India,Bihar,Male,3/26/1973,,,,
0015-KIWCS,3/11/2021,Refferal,3/11/2023,Standard,Annual,7/25/2024,Switched to competitor,14.35,660,97,1,dev,India,Punjab,Male,11/26/1969,7/2/2024,N,32,1
0023-OVUMZ,7/14/2020,Refferal,7/14/2021,Standard,Annual,,,14.12,1610,49,0,yogesh,India,West Bengal,Male,5/14/1992,,,,
0041-BWIHU,4/2/2023,Organic,4/2/2025,Standard,Annual,,,16,980,9,0,umesh,India,Rajasthan,Female,1/24/1964,,,,
0067-YWPLO,2/8/2021,Organic,2/8/2023,Basic,Annual,,,9.87,838,42,0,durga,India,Uttarakhand,Male,3/15/1961,,,,
0073-KBUEI,2/27/2020,Paid,2/27/2022,Premium,Monthly,4/6/2024,Billing issues,27.9,2432,89,1,sunil,India,Karnataka,Female,12/18/1961,3/8/2024,N,30,5
0085-UPTZX,11/10/2023,Paid,11/10/2026,Standard,Monthly,,,15.24,676,51,0,sanjay,India,Manipur,Male,4/11/1988,,,,
0115-NLXYB,3/15/2022,Paid,3/15/2025,Basic,Monthly,,,9.79,445,35,0,keshav,India,West Bengal,Male,3/23/1997,,,,
0153-WPDCU,5/8/2023,Paid,5/8/2024,Basic,Monthly,,,9.49,475,2,0,pushpa,India,Chhattisgarh,Female,6/27/2007,,,,
0158-DZGQD,3/29/2020,Organic,3/29/2022,Basic,Monthly,,,6.33,459,46,0,lalita,India,Jharkhand,Male,8/11/1977,,,,
0174-PRXUU,11/22/2021,Paid,11/22/2022,Standard,Monthly,,,18.86,819,23,0,preeti,India,Madhya Pradesh,Female,8/19/1958,5/8/2024,Y,29,5
0178-DKJNB,1/25/2021,Organic,1/25/2024,Premium,Monthly,,,25.25,1731,15,0,shanti,India,Manipur,Male,7/17/1967,1/30/2022,N,62,2
0183-ZYCNL,6/9/2021,Organic,6/9/2024,Standard,Monthly,,,12.82,1221,18,0,bal,India,Odisha,Female,8/28/1958,,,,
0195-DVZFG,1/23/2023,Organic,1/23/2027,Standard,Annual,,,13.07,782,3,0,kiran,India,Uttarakhand,Female,11/1/1986,,,,
0215-GSVJV,2/20/2023,Paid,2/20/2026,Premium,Annual,,,26.65,851,48,0,sanjay,India,Uttarakhand,Male,6/6/1974,,,,
0217-SOJRQ,2/27/2021,Organic,2/27/2025,Standard,Annual,,,17.94,1546,35,0,madan,India,Maharashtra,Female,4/16/1996,8/30/2021,N,60,2
0221-DVXXV,7/3/2023,Organic,7/3/2027,Premium,Annual,,,20.74,801,36,0,madan,India,Meghalaya,Female,12/1/1963,,,,
0226-HZJCP,2/15/2023,Refferal,2/15/2025,Standard,Annual,,,15.09,807,12,0,anita,India,Gujarat,Female,7/13/1968,8/24/2023,N,33,3
0226-ZCZOV,6/2/2023,Paid,6/2/2025,Premium,Monthly,,,27.69,1295,34,0,anita,India,Odisha,Male,12/17/1983,,,,
0235-YYOCH,9/2/2020,Paid,9/2/2021,Standard,Annual,,,18.49,1013,48,0,kusum,India,Kerala,Male,8/21/1976,,,,
0236-KJYGR,10/16/2021,Organic,10/16/2024,Standard,Monthly,,,13.45,739,26,0,gaurav,India,Delhi,Female,5/1/2006,,,,
0241-WXLUS,6/11/2022,Refferal,6/11/2025,Basic,Monthly,,,9,610,28,0,aarti,India,Kerala,Male,11/13/1968,,,,
0252-PMVWV,11/24/2020,Organic,11/24/2023,Basic,Annual,,,7.9,782,46,0,maya,India,Karnataka,Male,3/28/1990,3/31/2025,Y,56,3
0259-UEXFZ,4/22/2021,Paid,4/22/2024,Standard,Annual,,,13.09,877,19,0,seema,India,Meghalaya,Female,1/7/1964,2/21/2025,N,62,1
0281-RRGIS,9/10/2022,Paid,9/10/2023,Basic,Annual,,,8.72,620,47,0,niranjan,India,Chhattisgarh,Male,5/18/2003,8/1/2023,N,27,1
0285-MRMRY,3/14/2022,Paid,3/14/2025,Standard,Monthly,,,13,687,3,0,devendra,India,Himachal Pradesh,Male,4/6/2001,,,,
0287-UVUNN,8/16/2022,Refferal,8/16/2024,Premium,Monthly,,,21.14,1488,45,0,radha,India,Assam,Female,6/9/1984,,,,
0329-TZCRN,6/19/2023,Paid,6/19/2026,Basic,Monthly,,,9.79,385,43,0,sanjay,India,Assam,Female,9/1/1965,,,,
0336-MPGLR,7/29/2021,Organic,7/29/2023,Standard,Monthly,,,13.78,1292,53,0,veena,Nepal,Kathmandu,Female,7/4/1987,,,,
0342-QNOIX,3/27/2022,Organic,3/27/2024,Premium,Monthly,,,27,1306,40,0,Sanjay,India,Nagaland,Female,7/2/1991,,,,
0347-QEGQT,2/27/2020,Organic,2/27/2021,Basic,Monthly,,,9.58,758,33,0,seema,India,Goa,Female,8/2/1992,12/4/2020,N,68,1
0373-ECGII,7/30/2020,Refferal,7/30/2023,Standard,Monthly,12/8/2024,Billing issues,18.88,1220,99,1,kusum,India,Rajasthan,Female,8/11/1971,10/25/2024,Y,34,1
0374-PJAZB,6/11/2022,Organic,6/11/2023,Standard,Monthly,,,17.12,1118,27,0,jyoti,India,West Bengal,Male,6/30/1976,,,,
0387-MGIDA,10/11/2022,Organic,10/11/2025,Basic,Annual,,,9.44,350,37,0,sundar,India,Gujarat,Female,11/2/1960,,,,
0412-MGNPV,9/9/2023,Refferal,9/9/2025,Standard,Monthly,,,17.83,664,27,0,sanjay,India,Meghalaya,Female,8/16/1996,,,,
0432-KTXUR,7/16/2021,Paid,7/16/2022,Premium,Annual,,,27.45,2419,19,0,om,India,Maharashtra,Male,6/10/2005,10/11/2024,N,52,3
0434-LLUCQ,1/29/2023,Paid,1/29/2026,Basic,Annual,,,9.85,621,23,0,Sarla,India,Jharkhand,Female,1/18/1975,,,,
0435-YHJFC,8/22/2022,Refferal,8/22/2026,Premium,Annual,,,24.94,1689,81,0,anita,India,Himachal Pradesh,Female,4/5/1987,,,,
0440-NIXEZ,8/6/2020,Paid,8/6/2023,Basic,Monthly,,,7.89,800,52,0,rangadevi,India,Bihar,Male,5/21/1993,,,,
